Fax,Tel,loc2,Manager,loc1,Address
021-551 1559,021-551 1559,Chempet,Leslie Allison,WEST COAST,CNR ESSO- & MONTAGUE DR
012-3332468,012-3334537,QUEENSWOOD,CC Brits,PRETORIA,Cnr Fontana & Shielieng Road
011-624-1866,011-6241865,Troyeville,Moyo S.S.M,CENTRAL,"Cnr Fuller & Bezeidenhout Str, Bertrams 2094"
045-9431574,045-9431026,DORDRECHT,M.M. Tshweza,EAST LONDON,"CNR GREY- AND MARKPLEIN STREET, DORDRECHT"
021-939 7696,021-939 8061,Panorama,Paul Jacobs,WEST COAST,CNR H VERWOERD- & DENNE AVE
016 3511740,016 3511802,ORANJEVILLE,VACANT,POTCHEFSTROOM,CNR HERTZOG &MARKET STREET
021-857-0302,021-857-1167,Macassar,Jacqualine Machelm,OVERERG,Cnr Hospital & Burg Street Macassar
021-873 1370,021-873 1377,Wellington,Alwyn Shawe,WEST COAST,CNR KERK & JAN VAN RIEBEEK ST
028-4251516,028-424 1370,Bredasdorp,Ulrich Lamoer,OVERERG,Cnr Lang & Independent Street Bredasdorp
021-3710543,021-3714725,Philippi,Vacant,PENINSULA,"CNR LANSDOWNE & EISLEBEN AVENUES, SHOPRITE CENTRE, PHILIPPI, 7781"
021-6743800,021-6743800/671,Clareinch,Lynn Adonis,PENINSULA,"CNR LANSDOWNE & SECOND RDS, CLAREINCH, 7700"
018 2951240,01/ 2950256,IKAGENG,LEVY MAKGALE,POTCHEFSTROOM,CNR LEKGELE AND MOLEDI STREET
012-6653132,012-6653013,HIGHVELD PARK,L Olivier,PRETORIA,Cnr Logan and John Voster Ave Shop 5
012-3480640,012-3486759,MENLYN PP,Acting J Kgwaseng,PRETORIA,Cnr Loius and Garsfontein RD Retail Park
021-4248366,021-4247477,Vlaeberg,Trevor Carrol,PENINSULA,"CNR LOOP AND PEPPER STREETS, VLAEBERG, 8001"
014 5929681,014 5971931,Rustenburg,PEGGY PHEFO,RUSTENBURG,CNR LOOP AND PRETORIUS STREETS
021-551 6156,021-552 3500,Milnerton,Vincent Adonis,WEST COAST,CNR LOXTON & KOEBERG RD
021-5905617,021-5905617,Capemail Centre Court,Lee Ann Lambrechts,OVERERG,Cnr Mail Street & Showground Cape Mail 8003
039-7271299,039-7273138,KOKSTAD,Barry Shand,MIDLANDS,"Cnr Main & Backer Street, Kokstad, 4700"
018-381 4628,018-3810489,MAFIKENG,,VRYBURG,CNR MARTIN & CARRINGTON STREETS
014 2531101,012 2532092,Hartbeespoort,ESSIE FRAURENDORF,RUSTENBURG,CNR MEINTJIES & ST. MONICA STREETS
021-4651351,021-4651013,Mill Street,Marius Murray,PENINSULA,"CNR MILL & SCHOONDER STREETS, MILL STREET, 8001"
015-3071724,015-3075662,TZANEEN,MUSHWANA,PIETERSBURG,CNR MORGAN & LANNIELANE
039-4331748,039-4331015,HARDING,Collina Ndlovu,MIDLANDS,"Cnr Musgrave & Merchiston Street, Harding, 4680"
034 - 4132313,034 - 4131211,PONGOLA,FANIE DU PLESSIS,NORTHERN NATAL,CNR NEW REPUBLIC + MARTINSTREET PONGOLA
015-2922626,015-2923783,SUPERBIA,MASUKU,PIETERSBURG,CNR NIKKEL AND MANDELA DRIVE
043-7432374,043-7433855,EAST LONDON,N.L.Z. Xopa,EAST LONDON,CNR NORTH & OXFORD STREET EAST LONDON
021-931-2361,021-933-1164,Ravensmead,Wilfred Hendricks,OVERERG,Cnr Norway and Deleray Road Ravensmead
021-6336172,021-6336172/637,Guguletu,Sindiswa Mzamo,PENINSULA,"CNR NY1 & NY3, GUGULETU, 7750"
044-3432163,044-3431638,Sedgefield,C R Solomons,SOUTH CAPE,Cnr of Flamingo and Vinkst Sedgefield
044-8732066,044-8732066,George Industria,Y Alexander,SOUTH CAPE,Cnr of Nywerheid and Laingstr George
013-2827890,013-2827264/68,Middelburg,Maditau Mathibeng,WITBANK,CNR ong & Sadc Str
021-952-2830,021-952-2670,Belhar,Gilbert Moses,OVERERG,Cnr Ordgan & Sonar Street Belhar
031-500 1618,031-500 1618,PHOENIX,Anil Ramkumar,PORT NATAL,"Cnr Pandora and ParthenonStreet, Phoenix, 4080"
,046-648 2311,BUSHMANS RIVER MOUTH,Gaseba W,MIDLANDS,"Cnr Park & Hertzog Street, Bushmansriver Mouth, 6190"
014-7364896,014-7362508,Warmbad,Joshua Mati,POTGIETERSRUS,cnr Pretoria & Chris Hani Street
012-8045437,012-8043432,SILVERTON,MM Mulder,PRETORIA,Cnr Pretoria Rd and Fakkel Street Silverton Forum
012-3228023,012-3220511,DIE TREMLOODS,J De Clercq,PRETORIA,Cnr Pretorius and Schoeman Street
021-6335565,021-6374207,Surwell,Vacant,PENINSULA,"CNR PSTERNS & HEIDEVELD RDS, SURWELL, 7764"
012-9983543,012-9985922,Moreleta Plaza RPO,J Skhosana,PRETORIA,Cnr Reubenstein and Garsfontein Rd
013-6653931,013-6654887,Botleng,Sam Khuzwayo,WITBANK,CNR Robyn & Daimond Str.
012-6571241,012-6571242,The Reeds,Acting JJ deBeer,PRETORIA,Cnr Rooihuiskraal and Bothrill Marylone Mall E-Book
014 5966881,014 5965821,Ridderpark,VACANT,RUSTENBURG,CNR SMIT AND RIDDER STREET
018-4621997,018 4641313,MATLOSANE,ELLEN MOKOENA,POTCHEFSTROOM,CNR TEAK& WILCON STREET
012-8011020,012-8013137,RETHABILE,N Madisha,PRETORIA,Cnr Thomo and Tsamaya Mamelodi East
045-8396617,045-8396615,MLUNGISI,N.C. Colimbile (acting),EAST LONDON,CNR TOP & MASABALA STREET MLUNGISI
013-2530074,013-2531210,Belfast,Amos Duma,NELSPRUIT,cnr Vermoten & Fritzgerald Street
016 3711464,016 3711097,DENEYSVILLE,VACANT,POTCHEFSTROOM,CNR VOORTREKKER& MAIN STREET
013-6975223,013-6975151/52,Leraatsfontein,David Shabangu,WITBANK,CNR Watermeyer & Stevenson str
-,033-3995210,EDENDALE,Princess Dlamini (Acting),MIDLANDS,"Cnr Waterworks & Scott Roads, Edendale, 3217"
012-6548475,012-6543603,WIERDAPARK,S Pillay,PRETORIA,Cnr Willem Botha and Ruimte Road Wierdapark
054-4611224,054-4611224,KEIMOES,James Mac Nicol,UPINGTON,Cnr. Hoof & Kooperasie str.
054-8330142,054-8330142,GROBLERSHOOP,Vacant,UPINGTON,Cnr. Kerk & Karakoelstr.
035-4742307,035-4744455,ESHOWE,Joe Mbhele,ZULULAND,cnr. Patrick & Hutchinson Street
054-8710008,054-8710008,MARYDALE,Vacant,UPINGTON,Cnr. Snyman & connan str.
011-413-4007,011-4131300,AZAADVILLE,C. Gorekwang,SOUTH WEST RAND,COMMERCIAL ST6 AZAADVILLE 1750
,042-231 1004,ALICEDALE,rotate from Grahamstown,MIDLANDS,"Commercial Street, Alicedale, 6135"
021-4252860,021-4214670,Roggebaai,Schalk Liebenberg,PENINSULA,"COMMUNICARE BLDG, FORESHORE, ROGGEBAAI, 8001"
011-782-9734,011-7829729,Linden,Langa S.B,CENTRAL,"Corner Fourth Ave & Eighth Str, Linden 2195"
031-7823871,031-7823871,KWA XIMBA,Jabu Gonya (Acting),MIDLANDS,"Council Office Complex, KwaXimba"
011-478-2631,011-4763916/7,CRESTA,Sibusisu Sibisi,NORTH WEST RAND,"CRESTA CENTRE, RANDBURG 2194"
011-468-3267,011-4683268,KYALAMI,Karen Meintjies,NORTH WEST RAND,"CROWTHORNE CENTRE, KYALAMI, 1684"
011-385-0677,011-3850677,EDENPARK,KV Kameel,EAST VAAL,CRUSLER ST EDENPARK 1455
047-4921017,047-4920600,MSOBOMVU,N.D. Mkatshane (Acting),EAST LONDON,"CUBA LOCATION, MSOBOMVU"
021-510 4277,021-511 4312,Paarden Eiland,Vacancy,WEST COAST,CUMBERLAND RD
015-5050133,015-5053057,BOCHUM,MATSEMELA J.,PIETERSBURG,CUMBRAE SHOPPING CENTR
011-402-7386,011-4025863,Doornfontein,Sibiya ZG,CENTRAL,CURRY ST. 7 DOORNFONTEIN 2094
040-863 1078,040-863 1078,SEYMOUR,VACANT,MIDLANDS,"Curzon Street, Seymour, 5750"
051-4341901,051-4341901,EHRLICHPARK,PEET VAN TONDER,BLOEMFONTEIN,DE WAAL ROAD EHRLICHPARK
011-827-2986,011-8270701,WADEVILLE,AJ Olckers,EAST VAAL,DEKEMA ST WADEVILLE 1422
011-673-0097,011-6730097,DELAREY,Linda Vaz Cruz,NORTH WEST RAND,"DELAREY KWIKSPAR, ONTDEKKERS ROAD, DELAREY, 2114"
011-734-2854,011-7342852,DUNNOTTAR,C C COETZEE,EAST RAND,DIAS SPAR DUNNOTTAR 1590
021-904-9560,021-904-1125/13,Eersterivier,Derick Wilson,OVERERG,"Die Boord, Stellenbosch."
057-2127511,057-2125037,VIRGINIA,WILLEM V.D BERGH,BLOEMFONTEIN,DIE TUINE VIRGINIA
042-2961195,042-2961195,NOORDEINDE,Oosthuizen L E,PORT ELIZABETH,"Die Vrieskas, 15 Jacaranda St, Jeffreys Bay"
013-6903139,013-6903139,Emalahleni,Elijah Mnisi,WITBANK,Diederch Street
018-3641124,018-3641124,DINOKANA,MICHAEL MARUMO,POTCHEFSTROOM,DINOKANA VILLAGE
028-2729363,028-2729363,Betty's Bay,Leilani Oliver,OVERERG,Disa Centre Clarence Drive Betty's Bay
011-988-9703,011-9881192/93,DOBSONVILLE,Coetzee G,SOUTH WEST RAND,DOBSONVILLE SHOPPING CENTRE 1865
056-8176062,056-8176062,PARYS,RJ THOBATSI,POTCHEFSTROOM,DOLF STREET
031-4516938,031-4516635,DURBAN INT. AIRPORT,Nad Pillay,HIGHWAY,"Domestic arrivals, Durban International Airport"
039-8310185,039-8310185,DONNYBROOK,Xola Dlamini,MIDLANDS,"Donnybrook Main Rd, Donnybrook, 3237"
018 6321800,018 6326021,LICHTENBURG,ENOCH DHLAMINI,POTCHEFSTROOM,DR NELSON MANDELA DRIVE 45
016-988-1564,016- 9881449,BOIPATONG,V Mostert,EAST VAAL,DR NKOMO ST BOIPATONG 1901
014 2590485,014 2591635,Ifafi,CHARLOTTE OPPERMAN,RUSTENBURG,DREIER CENTRE OU WPAD IFAFI
041-4530243,041-4530299,SCHAUDERVILE,"Keevy, W",PORT ELIZABETH,"Durban Rd, Korsten"
,031-3363984,DURMAIL,,PORT NATAL,"Durmail Mail Centre, NMR Drive, Durban"
044-2516310,044-2516310,Dysselsdorp,O Baptiste,SOUTH CAPE,Dysselsweg Dysselsdorp
053-8731031,053-8731031,PESCODIA,VACANT,KIMBERLY,EAGLE STREETPESCODIA
012-8003779,012-8001425,LYNN EAST,F Van Der Heyden,PRETORIA,East Park Centre Shop 12Baviaanspoort Weg
021-7055884,021-7063020,Grassy Park,Abe Valentine,PENINSULA,"EAST STREET, GRASSY PARK, 7945"
011-769-2016,011-7628183,KAGISO EAST,L. Mojoloane,SOUTH WEST RAND,"EASY PACK CASH AND VARRY, JACOBS STREET, CHAMDOR."
051-9630027,051-9630027,Tweespruit,Des Opperman,BETHLEHEM,"Eaton Road, Tweespruit"
011-985-1108,011-9851107/8,DIEPKLOOF,P. Malindi,SOUTH WEST RAND,EBEN CUYLER DRIVE 7451
033-3987622,033-3981254,PLESSISLAER,Phillip Phetha,MIDLANDS,"Edendale Old Main Rd, Plessislaer, 3216"
021-558 1387,021-558 1387,Edgemead,Marina Aspeling,WEST COAST,EDGEMEAD SHOPPING CENTRE
011-753-1400,011-7533961/ 13,WESTONARIA,V. Sekwala,SOUTH WEST RAND,EDWARDS DRIVE WESTONARIA 1780
013-9348109,013-9344371,Ekangala,Nkele Malatjie,WITBANK,Eka Shopping Complex
041-5810302,041-5810302,GQEBERA,Mququ X,PORT ELIZABETH,"Ekunyamezeleni Resource Centre, Walmer Tws"
051-4441872,051-4441872,WILLOWS,ALETTA ERASMUS,BLOEMFONTEIN,ELLA STREET WILLOWS
014 5911685,014 5911501,Entabeni,SASA TLALE,RUSTENBURG,ENTABENI HOSTEL
046-637 1400,046-637 2229,SIPHIWO MAZWAYI,rotate from Grahamstown,MIDLANDS,"Erf 96 Ncame Street, Siphiwo Mazwayi, 6143"
018 2945191,018 2945191,NOORDBRUG,WILLIE ESTERHUIZEN,POTCHEFSTROOM,ESSELLEN STREET 5
042-2751444,042-2751444,MISGUND,"Lindoor, R.",PORT ELIZABETH,"Everyday Super Maket, Misgund"
,016- 3660675,HENLEY ON KLIP,P Pelser,EAST VAAL,EWELME ST 1895 HENLEY ON KLIP 1960
021-854-3641,021-853-7522,Strand,William Moses,OVERERG,Fagan Street
011-476-1019,011-4761019,FAIRLAND,Leon van Wezel,NORTH WEST RAND,"FAIRLAND SPAR, SMIT STREET, FAIRLAND 2195"
011-485-4089,011-4854089,SANDRINGHAM,Brand Franzsen,NORTH WEST RAND,FAIRMOUNT SPAR BRADFIELD ST 2131
051-4485392,051-4485392,FALCKVLEI,T MAJAWETSA,BLOEMFONTEIN,FALCK STREET
011-415-1800,011-4151500,KOCKSVLEI,L. VanDerMerwe,SOUTH WEST RAND,"FAMILY SAVE SPAR, STEYN ST KOCKSVLEI 1766"
011-425-5250,011-4255251,FARRARMERE,M Y TALJAARD,EAST RAND,"FARRARMERE SHOPPING CENTRE, BAYLIE STFARRARMERE  1518"
041-3656290,041-3641067,NEWTONPARK,Gouws A J,PORT ELIZABETH,"Fifth Avenue, Newton Park"
018-4648410,018 4641736,FLAMWOOD WALK,ELAINE RAUTENBACH,POTCHEFSTROOM,FLAMWOODWALK
018 4731779,018 4734227,ORKNEY,ESTHER MOLAMU,POTCHEFSTROOM,FLETCKER AVE
011-674-3998,011-6743111,FLORIDA HILLS,Charmaine Marais,SOUTH WEST RAND,"FLORA CENTRE, C/O ONTDEKKERS & CONRAD AVE, FLORIDA HILLS"
011-672-9815,011-6726213/624,FLORIDA,Winnie Mashiane,SOUTH WEST RAND,FLORIDA MALL 2ST FLORIDA 1709
011-793-7395,011-7937395,FONTAINEBLEAU,Norman Mbedzi,NORTH WEST RAND,"FONTAINEBLEAU SPAR, RABIE ST FONTAINEBLEAU 2194"
051-4324374,051-4324374,MANGAUNG,MARTHA MOKONE,BLOEMFONTEIN,FORT HARE ROAD
011-421-8558,011-4218570,BENONI WEST,N BREYTENBACH,EAST RAND,FOUNTAINS FRIENDLY CROCER
011-952-1183,011-9522615,TARLTON,R. Mathonsi,SOUTH WEST RAND,FOUR SEASONS SUPERMARKET RUSTENBURG RD TARLTON 1749
053-2060007,053-2060041,LUCKHOFF,VACANT,KIMBERLY,FOURIESTREET  LUCKHOFF
057-3542783,057-3542783,NTLAFATSONG,M.A NYAKANE,BLOEMFONTEIN,FREDDIES NR 5
053-6311155,053-6311155,DE AAR,FERDIE GREEFF,KIMBERLY,FRIEDLANDERSTREET  DE  AAR
013-7122456,013-7122128,Barberton,Susan Boshoff,NELSPRUIT,"Friendly Groccer, President Street"
011-902-5511,011-9029824,VERWOERDPARK,RP Manamela,EAST VAAL,"FRIENDLY GROCER, BRAUN & JIM FOUCHE ST, VERWOERDPARK, 1453"
(0149) 786-3117,018-7873111,OBERHOLZER,J. Mthembu,SOUTH WEST RAND,"FRIENDLY GROCER, VAN ZYL SMIT ST OBERHOLZER 2502"
053-8326548,053-8323020,HADISONPARK,CLAUDETTEVAAX,KIMBERLY,FRIENDLYCROCER  LONG STREET  KBY
CLOSED OPERATE,TEMPORARY,HUTTEN HEIGHTS,,NORTHERN NATAL,FROM NEWCASTLE POST OFFICE
031-5665076,031-5665150,UMHLANGA GATEWAY,S Bhengu,PORT NATAL,"G059, Gateway Theatre of Shopping,4321"
041-4561161,041-4522109,GELVANDALE,Bekker L.,PORT ELIZABETH,"Gail Road,Gelvandale"
018-336 3019,018-3363019,RADITHUSO,MOSES MODISE,VRYBURG,GELUKSPAN VILLAGE
016-423-3508,016-4235700/260,THREE RIVERS,V Janse van Rensburg,EAST VAAL,"GENERAAL HERTZOG, RIVER SQUARE S/C"
018-4762367,018-4762367,KANANA,MOLAKENG BEN,POTCHEFSTROOM,GEORGES CAFÉ
012-3353131,012-3350711,GEZINA,HN Mathebula,PRETORIA,Gezina Shopping Centre
017-6483432,017-6482411/383,Kriel,H v/d Westhuizen,WITBANK,Gizelle str
011-752-3043,011-7523042,GLENHARVIE,B. Kuraschi,SOUTH WEST RAND,"GLENHARVIE SPAR, GLENHARVIE,"
028-3840010,028-3840242,Gansbaai (RPO),Karel Booysen,OVERERG,GNA Stationers Carlo Centre
011-9061803,011-9061942,VOSLOORUS,M MARASELA,EAST RAND,"GOLD SPOT CENTRE, BARRY MARAIS STR, VOSLOORUS"
(0149) 788-3721,018-7872151,CARLETONVILLE,Z. Oosthuizen,SOUTH WEST RAND,GOLD ST 13 CARLETONVILLE 2500
011-825-1861,011-8258311,GERMISTON,SE Booysen,EAST VAAL,"GOLDEN WALK SHOPPING CENTRE, VICTORIA STR, GERMISTON"
011-475-2979,011-4750433/679,WELTEVREDENPARK,Tasha Jacobs,NORTH WEST RAND,GOLF CLUB TERRACE WELTEVREDENPARK 1709
011-477-4148,011-4774148,BERGBRON,Annetjie de Jager,NORTH WEST RAND,"GORDON ROAD SPAR, GORDON ST BERGBRON 1712"
021-4641793,021-4641754,Cape Town Fin,Edie Marais,PENINSULA,"GRAND CENTRAL BLDG, PLEIN STR, CAPE TOWN, 8001"
017 - 797 1203,017 - 797 1203,THUTHUKANI,NOSABE NJOMBELA,SECUNDA,GREEN STORES 7
011-693-6545,011-6936544,GREENHILLS,L. Madito,SOUTH WEST RAND,"GREENHILLS RITE VALU, C/O NORTHWAY & GREENHILLS AVENUE"
011-615-8193,011-6164312,Cleveland,Mtshali E,CENTRAL,"GREENWAY 137 GREENWAY CENTRE, GREENSIDE 2193"
011-646-8382,011-6466361,Greenside,Buys P.R,CENTRAL,"GREENWAY 137 GREENWAY CENTRE, GREENSIDE 2193"
015-6423094,015-6423153,GROOTHOEK,NYAKA L J,PIETERSBURG,GROOTHOEK HOSPITAL
047-8732549,047-8731192,EZIBILENI,N.A. Xamsane (Acting),EAST LONDON,GWADANA DRIVE EZIBELENI
016 971 3299,016 9712010,VAALPARK,MARTHIA BOTHMA,POTCHEFSTROOM,H/V OPPERMAN VAALPARK
035-7960011,035-7960011,ESIKHAWINI,Simphiwe Nkabinde,ZULULAND,H1077 Makethe Street (will be moving to Esikhawini Mall shortly)
053-964 0860,053-9640611,AMALIA,VACANT,VRYBURG,HAASBROEK STREET
011-536-0597,011-9391656/311,MEADOWLANDS,T.Mosia,SOUTH WEST RAND,HACK ST MEADOWLANDS 1851
011-839-3910,011-8372701,Crown Mines,Govender D,CENTRAL,HANOVER STR. 77 CROWN MINES 2092
012-8065277,012-8069899,EERSTERUS,O Boikanyo,PRETORIA,Hans Coverday Street Eersterus
018-4844336,018-484 3541,STILFONTEIN,TSHIPUNYANE MS,POTCHEFSTROOM,HARTBEESFONTEIN AVE
012 2702794,012 2702419,Lethabong,BABY SEBOTSANE,RUSTENBURG,HARTEBEESFONTEIN ROAD SHOP NO. 1
011-768-1866,011-7681959,HELDERKRUIN,J. Coetzee,SOUTH WEST RAND,"HELDERKRUIN SPAR, OUKLIP RD HELDERKRUIN 1724"
048-884 0483,048-884 0025 /,STEYNSBURG,Mattheus C.B,MIDLANDS,"Hendrik Potgieter Street, Steynsburg, 5920"
011-814-1155,011-8147621,NIGEL,M KHAUOE,EAST RAND,HENDRIKVERWOERD ST NIGEL 1490
011-434-4887,011-4341720,Booysen,Molefe R.W,CENTRAL,"HERONMERE DRIVE, BOOYSENS 2091"
011-837-441,011-8373147,Brixton,Mapalatsebe J,CENTRAL,HIGH ST 121 BRIXTON 2092
011-725-8685,011-7258674,Hillbrow,Jones B.A,CENTRAL,"HIGHPOINT SHOPPING CENTRE, C/O CLAIM & KOTZE, HILLBROW"
043-6833242,043-6831334,STUTTERHEIM,N.Z. Mnyande,EAST LONDON,HILL STREET STUTTERHEIM
021-694-4766,021-694-4712,Bontheuwel,Michael Daniels,OVERERG,Honey Suckle Rd Bontheuwel
011-795-4221,011-7953604,NORTH RIDING,Marietjie Watling,NORTH WEST RAND,"HONEYDEW DRIVE, NORTHGATE."
058-4530683,058-4530002,Arlington,Andries Mabuya,BETHLEHEM,"Hoof Street, Arlington"
051-8751280,051-8752337,THABA NCHU,THABO SEKONYELA,BLOEMFONTEIN,HOOG STREET THABANCHU
054-3390807,054-3390807,ORANJEKRUIN,Tania De Wee,UPINGTON,Hoopstr.
054-6030074,054-6030074,BRANDVLEI,Vacant,UPINGTON,Hoopstr.
014-7860922,014-7860114,Swartklip,Vacant,POTGIETERSRUS,Hospital street 16
014 5692011,014 5692011,Wildebees south,TSHOLOFELO SHETA,RUSTENBURG,HOSTEL NO. 9
021-5314707,021-5311680,Howard Place,Carl van Wyk,PENINSULA,"HOWARD CENTRE, HOWARD PLACE, 7405"
011-828-8861,011-8288862,SYMRIDGE,C BENNETTS,EAST RAND,"HOWE CIRCLE, SUNNYRIDGE,1420."
018-4677000,018 4678000,ALABAMA,BEAUTY MADOLO,POTCHEFSTROOM,HUCLE MALBERRY ALABAMA
013-2730213,013-2730008,Roossenekal,Vacant,WITBANK,Hugo Street
021-872 5005,021-872 1625,Huguenot,Nomondi Sibelekwana,WEST COAST,HUGUENOT RAILWAY STATION
033-9960396,033-9960607,IMPENDLE,Mondli Ngcobo (Acting),MIDLANDS,"Impendle, 3227"
031-5191711,031-5191642,INANDA,Nonhlanhla Mthembu,PORT NATAL,"Inanda Road, Inanda, Durban, 4309"
032-5321708,032-5321708,NDWEDWE,Buyile Ngcobo,PORT NATAL,"Indwedwe Main Road, Indwedwe, 4342"
021-572 8796,021-572 5911,Reygersdal,Malcolm Van Schoor,WEST COAST,INNERRING RD
043-7220401,043-7222170,QUIGNEY,V. Ntungwa,EAST LONDON,INVERLEITH TERRACE QUIGNEY
035-7923135,035-7721121,EMPANGENI,Jabulani Zulu,ZULULAND,Investec Centre Shop 10-12 Maxwell Street
016- 590-2462,016- 5902461,IRONSIDE,A Venter,EAST VAAL,"IRONSIDE SHOPPING CENTRE, IRONSIDE, EVATON"
039-5341001,039-5341001,IZINGOLWENI,Linda Mtshali,HIGHWAY,Izingolweni shopping Center
043-7331979,043-7331908,KWALOYITI,C.N. Magobiyane (Acting),EAST LONDON,"JABAVU STREET 7, DUNCAN VILLAGE"
041-9771504,041-9771504,KWANOBUHLE,Van Staden L,PORT ELIZABETH,"Jabavu Street, Kwanobuhle, Uitenhage"
014 5966609,014 5967116,Siyabonga,LETTA SEGOE,RUSTENBURG,JABULA HOSTEL
014 5432772,014 5432187,Koster,FRANCINAH PHATSHWANE,RUSTENBURG,JAMESON AVENUE 23
014-7635036,014-7632642,Ellisras,Elsie de Meyer,POTGIETERSRUS,Jan Lee street 2
011-325-4974,011-3254011,CRAIGHALL,Patrick Pienaar,NORTH WEST RAND,JAN SMUTS DRIVE HYDE PARK 2196
011-864-9703,011-8649704,RANDHART,JI van der Westhuizen,EAST VAAL,"JAQUELINE MALL, JACQUELINE ST, RANDHART 1449"
012-3414649,012-3417704,SUNNYSIDE,KJ Dube,PRETORIA,Jeppy Street Sunnyside
016-590-1207,016- 5901207,DE DEUR,C Du Preez,EAST VAAL,JHB HIGHWAY DE DEUR 1884
011-394-4705,011-9752048,JHB INT. LUGHAWE,W COETZER,EAST RAND,"JHB INT AIRPORT,KEMPTON PARK 1627"
035-5710048,035-5710048,MBAZWANA,Richard Mathonsi,ZULULAND,"Jock Morrison WholeSalers, Main Street"
,041-4854439,JOE SLOVO,Kosana L G,PORT ELIZABETH,Joe Slovo T/S
011-704-2623,011-7042623,JUKSKEIPARK,Danie Taljaard,NORTH WEST RAND,"JUKSKEIPARK SPAR C/O PLATINA & ROBYN, JUKSKEIPARK, 2195."
053-842 0999,053-8420999,BEACONSFIELD,WILLA LIEBENBERG,KIMBERLY,K&B SUPERMARKETBEACONSFIELD
013-7377130,013-7377116,Hazyview,Willem Labuschagne,NELSPRUIT,Kai City Arend Road
015-4130145,015-4130001,Mapela RPO,Johannes Ledwaba,POTGIETERSRUS,Kakwalata Complex
021-951 3128,021-951 2412,Kasselsvlei,Samuel Louw,WEST COAST,KASSELSVLEI RD 24
018-338 4017,018-3382742,ITSOSENG,STEPHEN THWANE,VRYBURG,"KEKANE STREET, ITSOSENG"
031-7362305,031-7362305,HAMMARSDALE,Bongi Zungu,HIGHWAY,"Kelly Road, Hammarsdale"
011-393-4277,011-9763547,EDLEEN,E MAHALNGU,EAST RAND,"KEMPTONGATE , CO RIENIERT AND SWART DRIVE EDLEEN 1625"
021-6833665,021-6715556,Glosderry,Wilma Frans,PENINSULA,"KENILWORTH CENTRE, GLOSDERRY, 7700"
046-648 2484,046-648 1394,KENTON ON SEA,Van der Merwe I,MIDLANDS,"Kenton Road, Kenton On Sea, 6191"
051-5410220,051-5410220,DEWETSDORP,THABO POBE,BLOEMFONTEIN,KERK STREET
051-7431654,051-7431654,EDENBURG,VACANT,KIMBERLY,KERK STREETEDENBURG
028-7351033,028-7351033,Albertinia,E Oosthuizen,SOUTH CAPE,Kerkst Albertinia1
051-8110050,051-8110050,DEALESVILLE,VACANT,KIMBERLY,KERKSTREET  DEALSVILLE
053-6210488,053-6210152,VICTORIA WEST,SNELMEYER,KIMBERLY,KERKSTREET  VICTORIA WEST
011-788-5062,011-7883414,Parklands,Brand KM,CENTRAL,KEYES DRIVE ROSEBANK 2196
011-909-2403,011-9097104/300,KATLEHONG,MG Moagi,EAST VAAL,KHUMALO ST KATLEHONG 1832
011-905-1003,011-9056814/550,TOKOZA,GN Mpango,EAST VAAL,KHUMALO ST TOKOZA 1421
011-660-1096,011-9536523,KRUGERSDORP NORTH,M. Brits,SOUTH WEST RAND,"KIEPIES GIFT SHOP, BONANZA SPAR, KRUGERSDORP NORTH"
013-7081249,013-7081001,Ximhungwe,Vacant,NELSPRUIT,Kildare Village
011-646-0483,011-6465440,Houghton,Prinsloo IM,CENTRAL,"KILLARNEY CENTRE, RIVEIRA ST 60 HOUGHTON 2198"
014 7040086,012 7040085/6,Winterveldt,CARTWRIGHT RAPULANA,RUSTENBURG,KLIPPSN ROAD
028-7541115,028-7541115,Stilbaai,A van Tonder,SOUTH CAPE,Kloofst Stilbaai
044-8711310,044-8711310,George East,C Oosthuizen,SOUTH CAPE,Knysna weg George
,047-5642104,KOHLO,N.DIKO,UMTATA,KOHLO VILLAGE
012-7110570,012-7110092,Hammanskraal,Abel Lebeko,POTGIETERSRUS,Kopanong complex
015-6423452,015-6424307,KORINGPUNT,KEKANARM,PIETERSBURG,"KORINGPUNT SHOPPING CENTRE, MAIN ROAD"
013-7501896,013-7500524,Witrivier,Hendriek Myburg,NELSPRUIT,Kruger Street Witrivier
058-3034931,058-3034931,Theronville,-,BETHLEHEM,KSOK Building
057-3611000,057-3610321,MERAFONG,SHADRACK LETHETSA,BLOEMFONTEIN,KUTLWANONG LOCATION ODENDAALSRUS
013-6611761,013-6611888,Sundra,Vacant,WITBANK,Kwik Spar
041-3605131,041-3606071,HUNTER'S RETREAT,Nel S A,PORT ELIZABETH,Kwik Spar OldCape Rd
034 - 9075047,034 - 9075047,LOUWSBURG,HEADMAN ZULU,NORTHERN NATAL,KWIKSPAR AVENUE ROAD LOUWSBURG
014-7682044,014-7862202,Enkelbult,Vacant,POTGIETERSRUS,Kwikspar building
014-577-2938,014-5773060,MAGALIESBURG,A. Jacobs,SOUTH WEST RAND,"KWIKSPAR, RUSTENBURG DRIVE, MAGALIESBURG 2805"
023-3562406,023-356-2436,De Doorns,Willie Van Zyl,OVERERG,La Rchelle Road De Doorns
011-427-0284,011-4270283,BENONI NORTH,A PHAKANE,EAST RAND,"LAKESIDE MALL, TOM JONES STR, BENONI"
